City,District,Sitename,Longitude,Latitude
臺北市,北投區,士林,121.5145,25.105917
臺北市,萬華區,萬華,121.507972,25.046503
臺北市,大同區,大同,121.513311,25.0632
臺北市,中山區,中山,121.526528,25.062361
臺北市,大安區,古亭,121.529556,25.020608
臺北市,松山區,松山,121.578611,25.05
臺北市,北投區,陽明,121.529583,25.182722
新北市,土城區,土城,121.451861,24.982528
新北市,林口區,林口,121.365703,25.07857
新北市,石門區,富貴角,121.537975,25.297436
新北市,萬里區,萬里,121.689881,25.179667
新北市,汐止區,汐止,121.6408,25.065669
新北市,淡水區,淡水,121.449239,25.1645
新北市,新店區,新店,121.537778,24.977222
新北市,新莊區,新莊,121.4325,25.037972
新北市,永和區,永和,121.516306,25.017
新北市,三重區,菜寮,121.481028,25.06895
新北市,板橋區,板橋,121.458667,25.012972
新北市,三重區,三重,121.493806,25.072611
臺中市,西屯區,西屯,120.616917,24.162197
臺中市,南屯區,忠明,120.641092,24.151958
臺中市,豐原區,豐原,120.741711,24.256586
臺中市,沙鹿區,沙鹿,120.568794,24.225628
臺中市,大里區,大里,120.677689,24.099611
臺南市,新營區,新營,120.31725,23.305633
臺南市,善化區,善化,120.297142,23.115097
臺南市,安南區,安南,120.218333,23.048333
臺南市,中西區,臺南,120.202617,22.984581
高雄市,左營區,左營,120.292917,22.674861
高雄市,楠梓區,楠梓,120.328289,22.733667
高雄市,前金區,前金,120.288086,22.632567
高雄市,前鎮區,前鎮,120.307564,22.605386
高雄市,前鎮區,復興,120.312017,22.608711
高雄市,小港區,小港,120.337736,22.565833
高雄市,鳳山區,鳳山,120.358083,22.627392
高雄市,林園區,林園,120.41175,22.4795
高雄市,大寮區,大寮,120.425311,22.564136
高雄市,仁武區,仁武,120.332631,22.689056
高雄市,橋頭區,橋頭,120.305689,22.757506
高雄市,美濃區,美濃,120.530542,22.883583
基隆市,信義區,基隆,121.760056,25.129167
新竹市,東區,新竹,120.972075,24.805619
嘉義市,西區,嘉義,120.440833,23.462778
宜蘭縣,冬山鄉,冬山,121.792928,24.632203
宜蘭縣,宜蘭市,宜蘭,121.746394,24.747917
桃園市,桃園區,桃園,121.304417,24.995667
桃園市,大園區,大園,121.201811,25.060344
桃園市,觀音區,觀音,121.082761,25.035503
桃園市,龍潭區,龍潭,121.21635,24.863869
桃園市,中壢區,中壢,121.221667,24.953278
桃園市,平鎮區,平鎮,121.204981,24.954208
新竹縣,竹東鎮,竹東,121.088903,24.740644
新竹縣,湖口鄉,湖口,121.038653,24.900142
苗栗縣,三義鄉,三義,120.758833,24.382942
苗栗縣,苗栗市,苗栗,120.8202,24.565269
苗栗縣,頭份市,頭份,120.898572,24.696969
彰化縣,線西鄉,線西,120.469061,24.131672
彰化縣,彰化市,彰化,120.541519,24.066
彰化縣,二林鎮,二林,120.409653,23.925175
南投縣,埔里鎮,埔里,120.967903,23.968842
南投縣,南投市,南投,120.685306,23.913
南投縣,竹山鎮,竹山,120.677306,23.756389
雲林縣,麥寮鄉,麥寮,120.251825,23.753506
雲林縣,臺西鄉,臺西,120.202842,23.717533
雲林縣,崙背鄉,崙背,120.348742,23.757547
雲林縣,斗六市,斗六,120.544994,23.711853
嘉義縣,新港鄉,新港,120.345531,23.554839
嘉義縣,朴子市,朴子,120.24735,23.465308
屏東縣,恆春鎮,恆春,120.788928,21.958069
屏東縣,屏東市,屏東,120.488033,22.673081
屏東縣,潮州鎮,潮州,120.561175,22.523108
臺東縣,臺東市,臺東,121.15045,22.755358
臺東縣,關山鎮,關山,121.161933,23.045083
花蓮縣,花蓮市,花蓮,121.599769,23.971306
澎湖縣,馬公市,馬公,119.566158,23.569031
金門縣,金城鎮,金門,118.312256,24.432133
連江縣,南竿鄉,馬祖,119.9525,26.153611
